No,管理ID,判定,理由,読取カード名,読取セット,読取収録番号,読取レア度,読取信頼度,提案商品名,提案セット,提案収録番号,候補件数,イラスト信頼度,検索語,撮影画像URL,候補画像URL
1,c30489b8-f663-496a-bdf0-4d09f41bb820,skip,候補0件（検索でヒットせず） ／マスタには存在（ミツル XY6 076/078）＝画面検索側の要確認,ミツル,,076/078,,0.85,,,,0,,ミツル,https://inventory-unit-images.ka-nabell.com/registrations/930/1784093523428_c30489b8-f663-496a-bdf0-4d09f41bb820.png,
2,f186fc98-62b2-40b8-926c-6ec184914254,confirm,収録番号一致（セット読取不可のため番号一意で確定）,フラダリ,,044/049,,0.85,フラダリ,MMB赤,044/049,1,,フラダリ,https://inventory-unit-images.ka-nabell.com/registrations/930/1784093701811_f186fc98-62b2-40b8-926c-6ec184914254.png,https://www.pokemon-card.com/assets/images/card_images/large/MMB-S/031276_T_FURADARI.jpg
3,97966246-87d3-478d-85db-efc6f4f847bc,skip,要確認（マスタで『セット+番号』重複＝ミラー/版違い等で一意化不可: ボスの指令 MC 724/742）自動確定を保留,ボスの指令,,724/742,,0.85,,,,1,,ボスの指令,https://inventory-unit-images.ka-nabell.com/registrations/930/1784093753403_97966246-87d3-478d-85db-efc6f4f847bc.png,
4,f6296c43-2c61-4e14-a97a-b7a85708617d,confirm,収録番号＋セット一致,ポケモンキャツチャー,,114/131,,0.85,ポケモンキャッチャー,SMH,114/131,1,,ポケモンキャッチャー,https://inventory-unit-images.ka-nabell.com/registrations/930/1784093756312_f6296c43-2c61-4e14-a97a-b7a85708617d.png,https://www.pokemon-card.com/assets/images/card_images/large/SMH/035143_T_POKEMONKYACCHA.jpg
5,dd39975c-5292-4fb5-bf31-e2168c298b90,confirm,収録番号＋セット一致,バンギラス,,052/071,,0.85,バンギラス,SV2D,052/071,1,,バンギラス,https://inventory-unit-images.ka-nabell.com/registrations/930/1784093762007_dd39975c-5292-4fb5-bf31-e2168c298b90.png,https://www.pokemon-card.com/assets/images/card_images/large/SV2D/043188_P_BANGIRASU.jpg
6,437d82f5-18ca-4e23-901a-da2d52925c9c,confirm,収録番号＋セット一致,コノヨザル,,051/078,,0.85,コノヨザル,SV1V,051/078,1,,コノヨザル,https://inventory-unit-images.ka-nabell.com/registrations/930/1784093767722_437d82f5-18ca-4e23-901a-da2d52925c9c.png,https://www.pokemon-card.com/assets/images/card_images/large/SV1V/042675_P_KONOYOZARU.jpg
7,66233775-7a35-4e85-b0c1-4a683fcc5d43,skip,処理エラー: HTTP Error 404: Not Found,,,,,0.00,,,,0,,,,
