紐づけID,No,管理ID,要確認,スキップ理由,読取カード名,読取セット,読取収録番号,読取レア度,マスタ判定,マスタ商品名,マスタセット,マスタ収録番号,候補件数,検索語,撮影画像URL
920,1,df1aec0a-4afa-42f6-b804-c17f53e71c00,,収録番号一致なし（撮影=019/060 / 候補=041/190） ／マスタには存在（インテレオン S1W 019/060）＝画面検索側の要確認,インテレオン,s1W,019/060,,exact,インテレオン,S1W,019/060,1,インテレオン,https://inventory-unit-images.ka-nabell.com/registrations/920/1783933619792_df1aec0a-4afa-42f6-b804-c17f53e71c00.png
920,2,c6419b39-d622-493a-8b2d-b0491dedb1c0,,収録番号一致なし（撮影=019/060 / 候補=041/190） ／マスタには存在（インテレオン S1W 019/060）＝画面検索側の要確認,インテレオン,s1W,019/060,,exact,インテレオン,S1W,019/060,1,インテレオン,https://inventory-unit-images.ka-nabell.com/registrations/920/1783933622712_c6419b39-d622-493a-8b2d-b0491dedb1c0.png
920,3,e951af3c-b103-4ca8-b026-c3c03c754023,,収録番号一致なし（撮影=005/066 / 候補=006/095） ／マスタには存在（イトマル SM6b 005/066）＝画面検索側の要確認,イトマル,SM6b,005/066,,exact,イトマル,SM6b,005/066,1,イトマル,https://inventory-unit-images.ka-nabell.com/registrations/920/1783933628411_e951af3c-b103-4ca8-b026-c3c03c754023.png
920,4,f34a327c-60fc-4834-becc-5c19ae4b9a57,要確認(セット+番号重複),要確認（マスタで『セット+番号』重複＝ミラー/版違い等で一意化不可: シロナ SM8b 132/150）自動確定を保留,シロナ,SM8b,132/150,,exact,シロナ,SM8b,132/150,1,シロナ,https://inventory-unit-images.ka-nabell.com/registrations/920/1783933770215_f34a327c-60fc-4834-becc-5c19ae4b9a57.png
