紐づけID,No,管理ID,要確認,スキップ理由,読取カード名,読取セット,読取収録番号,読取レア度,マスタ判定,マスタ商品名,マスタセット,マスタ収録番号,候補件数,検索語,撮影画像URL
930,1,c30489b8-f663-496a-bdf0-4d09f41bb820,,候補0件（検索でヒットせず） ／マスタには存在（ミツル XY6 076/078）＝画面検索側の要確認,ミツル,,076/078,,name_number,ミツル,XY6,076/078,0,ミツル,https://inventory-unit-images.ka-nabell.com/registrations/930/1784093523428_c30489b8-f663-496a-bdf0-4d09f41bb820.png
930,3,97966246-87d3-478d-85db-efc6f4f847bc,要確認(セット+番号重複),要確認（マスタで『セット+番号』重複＝ミラー/版違い等で一意化不可: ボスの指令 MC 724/742）自動確定を保留,ボスの指令,,724/742,,name_number,ボスの指令,MC,724/742,1,ボスの指令,https://inventory-unit-images.ka-nabell.com/registrations/930/1784093753403_97966246-87d3-478d-85db-efc6f4f847bc.png
930,7,66233775-7a35-4e85-b0c1-4a683fcc5d43,,撮影画像がS3一覧に見つからず（未アップロード/対象外の可能性）,,,,,,,,,0,,
