No,管理ID,判定,理由,読取カード名,読取セット,読取収録番号,読取レア度,読取信頼度,提案商品名,提案セット,提案収録番号,候補件数,イラスト信頼度,検索語,撮影画像URL,候補画像URL
1,df1aec0a-4afa-42f6-b804-c17f53e71c00,skip,収録番号一致なし（撮影=019/060 / 候補=041/190） ／マスタには存在（インテレオン S1W 019/060）＝画面検索側の要確認,インテレオン,s1W,019/060,,0.85,,,,1,,インテレオン,https://inventory-unit-images.ka-nabell.com/registrations/920/1783933619792_df1aec0a-4afa-42f6-b804-c17f53e71c00.png,
2,c6419b39-d622-493a-8b2d-b0491dedb1c0,skip,収録番号一致なし（撮影=019/060 / 候補=041/190） ／マスタには存在（インテレオン S1W 019/060）＝画面検索側の要確認,インテレオン,s1W,019/060,,0.85,,,,1,,インテレオン,https://inventory-unit-images.ka-nabell.com/registrations/920/1783933622712_c6419b39-d622-493a-8b2d-b0491dedb1c0.png,
3,e951af3c-b103-4ca8-b026-c3c03c754023,skip,収録番号一致なし（撮影=005/066 / 候補=006/095） ／マスタには存在（イトマル SM6b 005/066）＝画面検索側の要確認,イトマル,SM6b,005/066,,0.85,,,,1,,イトマル,https://inventory-unit-images.ka-nabell.com/registrations/920/1783933628411_e951af3c-b103-4ca8-b026-c3c03c754023.png,
4,bd5b2046-31d8-4663-8311-c4865e0010b4,confirm,収録番号＋セット一致,ヨワシ,SMIS,017/060,,0.85,ヨワシ,SM1S,017/060,1,,ヨワシ,https://inventory-unit-images.ka-nabell.com/registrations/920/1783933683113_bd5b2046-31d8-4663-8311-c4865e0010b4.png,https://www.pokemon-card.com/assets/images/card_images/large/SM1S/033021_P_YOWASHI.jpg
4,f34a327c-60fc-4834-becc-5c19ae4b9a57,skip,要確認（マスタで『セット+番号』重複＝ミラー/版違い等で一意化不可: シロナ SM8b 132/150）自動確定を保留,シロナ,SM8b,132/150,,0.85,,,,1,,シロナ,https://inventory-unit-images.ka-nabell.com/registrations/920/1783933770215_f34a327c-60fc-4834-becc-5c19ae4b9a57.png,
6,5e3e7a0c-c977-454c-9d50-8b73b9040365,confirm,収録番号＋セット一致,ハネツコ,,006/070,,0.85,ハネッコ,L1赤,006/070,1,,ハネッコ,https://inventory-unit-images.ka-nabell.com/registrations/920/1783933846805_5e3e7a0c-c977-454c-9d50-8b73b9040365.png,https://www.pokemon-card.com/assets/images/card_images/large/L1-Bhg/025011_P_HANEKKO.jpg
7,4c8f0f76-50ac-4b52-bc61-3de23dde7fb1,confirm,収録番号＋セット一致,びつくりボックス,SM90,044/055,,0.85,びっくりボックス,SM9a,044/055,1,,びっくりボックス,https://inventory-unit-images.ka-nabell.com/registrations/920/1783933861416_4c8f0f76-50ac-4b52-bc61-3de23dde7fb1.png,https://www.pokemon-card.com/assets/images/card_images/large/SM9a/036189_T_BIKKURIBOKKUSU.jpg
8,51642629-ab36-42cd-90d3-9aece1b1efb6,confirm,収録番号＋セット一致,ドジョツチ,,016/054,,0.85,ドジョッチ,AD3,016/054,1,,ドジョッチ,https://inventory-unit-images.ka-nabell.com/registrations/920/1783933864306_51642629-ab36-42cd-90d3-9aece1b1efb6.png,https://pcg-search.com/img/adv/adv3016.png
9,dcd7c46a-9343-421a-bc81-e7d7120cbe11,confirm,収録番号＋セット一致,テツポウオ,,028/070,,0.85,テッポウオ,L1赤,028/070,1,,テッポウオ,https://inventory-unit-images.ka-nabell.com/registrations/920/1783933886496_dcd7c46a-9343-421a-bc81-e7d7120cbe11.png,https://www.pokemon-card.com/assets/images/card_images/large/L1-Bhg/025048_P_TEPPOUO.jpg
10,39fca373-7850-43a9-ae81-0415bc68ddfb,confirm,収録番号＋セット一致,ジャッジマン,SM70,057/060,,0.85,ジャッジマン,SM7a,057/060,1,,ジャッジマン,https://inventory-unit-images.ka-nabell.com/registrations/920/1783933964407_39fca373-7850-43a9-ae81-0415bc68ddfb.png,https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035218_T_JAJJIMAN.jpg
